67+81->7+1=8,6+8=4c1->148
61+74->1+4=5,6+7=3c1->135
32+86->2+6=8,3+8=1c1->118
27+54->7+4=1c1,2+5+1=8c0->81
98+86->8+6=4c1,9+8+1=8c1->184
11+56->1+6=7,1+5=6->67
53+70->3+0=3,5+7=2c1->123
65+9->5+9=4c1,6+0+1=7c0->74
61+97->1+7=8,6+9=5c1->158
50+9->0+9=9,5+0=5->59
30+28->0+8=8,3+2=5->58
99+16->9+6=5c1,9+1+1=1c1->115
83+51->3+1=4,8+5=3c1->134
44+1->4+1=5,4+0=4->45
38+32->8+2=0c1,3+3+1=7c0->70
48+22->8+2=0c1,4+2+1=7c0->70
91+31->1+1=2,9+3=2c1->122
56+61->6+1=7,5+6=1c1->117
90+25->0+5=5,9+2=1c1->115
49+15->9+5=4c1,4+1+1=6c0->64
41+6->1+6=7,4+0=4->47
18+59->8+9=7c1,1+5+1=7c0->77
46+23->6+3=9,4+2=6->69
46+62->6+2=8,4+6=0c1->108
40+76->0+6=6,4+7=1c1->116
67+49->7+9=6c1,6+4+1=1c1->116
99+98->9+8=7c1,9+9+1=9c1->197
15+99->5+9=4c1,1+9+1=1c1->114
66+30->6+0=6,6+3=9->96
91+13->1+3=4,9+1=0c1->104
46+11->6+1=7,4+1=5->57
23+90->3+0=3,2+9=1c1->113
92+10->2+0=2,9+1=0c1->102
73+55->3+5=8,7+5=2c1->128
56+44->6+4=0c1,5+4+1=0c1->100
38+42->8+2=0c1,3+4+1=8c0->80
56+70->6+0=6,5+7=2c1->126
80+16->0+6=6,8+1=9->96
35+12->5+2=7,3+1=4->47
74+43->4+3=7,7+4=1c1->117
85+36->5+6=1c1,8+3+1=2c1->121
82+16->2+6=8,8+1=9->98
61+76->1+6=7,6+7=3c1->137
47+92->7+2=9,4+9=3c1->139
57+2->7+2=9,5+0=5->59
5+42->5+2=7,0+4=4->47
89+75->9+5=4c1,8+7+1=6c1->164
21+62->1+2=3,2+6=8->83
54+74->4+4=8,5+7=2c1->128
83+80->3+0=3,8+8=6c1->163
37+5->7+5=2c1,3+0+1=4c0->42
69+61->9+1=0c1,6+6+1=3c1->130
77+45->7+5=2c1,7+4+1=2c1->122
26+29->6+9=5c1,2+2+1=5c0->55
55+45->5+5=0c1,5+4+1=0c1->100
11+71->1+1=2,1+7=8->82
75+62->5+2=7,7+6=3c1->137
1+46->1+6=7,0+4=4->47
73+93->3+3=6,7+9=6c1->166
64+67->4+7=1c1,6+6+1=3c1->131
74+36->4+6=0c1,7+3+1=1c1->110
69+28->9+8=7c1,6+2+1=9c0->97
17+19->7+9=6c1,1+1+1=3c0->36
64+74->4+4=8,6+7=3c1->138
52+2->2+2=4,5+0=5->54
80+65->0+5=5,8+6=4c1->145
85+27->5+7=2c1,8+2+1=1c1->112
37+28->7+8=5c1,3+2+1=6c0->65
95+22->5+2=7,9+2=1c1->117
55+41->5+1=6,5+4=9->96
50+31->0+1=1,5+3=8->81
84+50->4+0=4,8+5=3c1->134
87+21->7+1=8,8+2=0c1->108
32+12->2+2=4,3+1=4->44
63+52->3+2=5,6+5=1c1->115
63+84->3+4=7,6+8=4c1->147
99+39->9+9=8c1,9+3+1=3c1->138
65+35->5+5=0c1,6+3+1=0c1->100
63+6->3+6=9,6+0=6->69
15+19->5+9=4c1,1+1+1=3c0->34
23+69->3+9=2c1,2+6+1=9c0->92
59+65->9+5=4c1,5+6+1=2c1->124
75+63->5+3=8,7+6=3c1->138
85+65->5+5=0c1,8+6+1=5c1->150
95+36->5+6=1c1,9+3+1=3c1->131
83+62->3+2=5,8+6=4c1->145
49+55->9+5=4c1,4+5+1=0c1->104
73+87->3+7=0c1,7+8+1=6c1->160
38+69->8+9=7c1,3+6+1=0c1->107
55+94->5+4=9,5+9=4c1->149
78+90->8+0=8,7+9=6c1->168
59+82->9+2=1c1,5+8+1=4c1->141
81+80->1+0=1,8+8=6c1->161
46+14->6+4=0c1,4+1+1=6c0->60
41+13->1+3=4,4+1=5->54
90+56->0+6=6,9+5=4c1->146
1+67->1+7=8,0+6=6->68
26+8->6+8=4c1,2+0+1=3c0->34
78+99->8+9=7c1,7+9+1=7c1->177
63+49->3+9=2c1,6+4+1=1c1->112
34+58->4+8=2c1,3+5+1=9c0->92
10+86->0+6=6,1+8=9->96
66+81->6+1=7,6+8=4c1->147
8+49->8+9=7c1,0+4+1=5c0->57
90+63->0+3=3,9+6=5c1->153
54+1->4+1=5,5+0=5->55
10+98->0+8=8,1+9=0c1->108
50+63->0+3=3,5+6=1c1->113
25+62->5+2=7,2+6=8->87
54+45->4+5=9,5+4=9->99
73+40->3+0=3,7+4=1c1->113
22+77->2+7=9,2+7=9->99
78+14->8+4=2c1,7+1+1=9c0->92
70+12->0+2=2,7+1=8->82
35+17->5+7=2c1,3+1+1=5c0->52
17+72->7+2=9,1+7=8->89
27+14->7+4=1c1,2+1+1=4c0->41
92+86->2+6=8,9+8=7c1->178
72+18->2+8=0c1,7+1+1=9c0->90
70+61->0+1=1,7+6=3c1->131
80+1->0+1=1,8+0=8->81
8+89->8+9=7c1,0+8+1=9c0->97
33+76->3+6=9,3+7=0c1->109
80+29->0+9=9,8+2=0c1->109
31+6->1+6=7,3+0=3->37
28+4->8+4=2c1,2+0+1=3c0->32
32+49->2+9=1c1,3+4+1=8c0->81
76+47->6+7=3c1,7+4+1=2c1->123
96+60->6+0=6,9+6=5c1->156
40+80->0+0=0,4+8=2c1->120
48+24->8+4=2c1,4+2+1=7c0->72
26+14->6+4=0c1,2+1+1=4c0->40
89+80->9+0=9,8+8=6c1->169
71+49->1+9=0c1,7+4+1=2c1->120
26+78->6+8=4c1,2+7+1=0c1->104
81+73->1+3=4,8+7=5c1->154
84+62->4+2=6,8+6=4c1->146
22+79->2+9=1c1,2+7+1=0c1->101
2+97->2+7=9,0+9=9->99
9+38->9+8=7c1,0+3+1=4c0->47
11+30->1+0=1,1+3=4->41
61+78->1+8=9,6+7=3c1->139
93+39->3+9=2c1,9+3+1=3c1->132
37+77->7+7=4c1,3+7+1=1c1->114
87+13->7+3=0c1,8+1+1=0c1->100
2+24->2+4=6,0+2=2->26
81+90->1+0=1,8+9=7c1->171
13+29->3+9=2c1,1+2+1=4c0->42
66+91->6+1=7,6+9=5c1->157
61+98->1+8=9,6+9=5c1->159
25+30->5+0=5,2+3=5->55
79+82->9+2=1c1,7+8+1=6c1->161
88+38->8+8=6c1,8+3+1=2c1->126
59+74->9+4=3c1,5+7+1=3c1->133
58+40->8+0=8,5+4=9->98
82+85->2+5=7,8+8=6c1->167
41+52->1+2=3,4+5=9->93
92+14->2+4=6,9+1=0c1->106
91+81->1+1=2,9+8=7c1->172
79+95->9+5=4c1,7+9+1=7c1->174
83+5->3+5=8,8+0=8->88
25+8->5+8=3c1,2+0+1=3c0->33
19+28->9+8=7c1,1+2+1=4c0->47
28+50->8+0=8,2+5=7->78
24+69->4+9=3c1,2+6+1=9c0->93
83+96->3+6=9,8+9=7c1->179
47+85->7+5=2c1,4+8+1=3c1->132
70+85->0+5=5,7+8=5c1->155
45+2->5+2=7,4+0=4->47
68+73->8+3=1c1,6+7+1=4c1->141
25+76->5+6=1c1,2+7+1=0c1->101
86+71->6+1=7,8+7=5c1->157
79+11->9+1=0c1,7+1+1=9c0->90
27+65->7+5=2c1,2+6+1=9c0->92
88+92->8+2=0c1,8+9+1=8c1->180
29+8->9+8=7c1,2+0+1=3c0->37
92+76->2+6=8,9+7=6c1->168
78+63->8+3=1c1,7+6+1=4c1->141
16+47->6+7=3c1,1+4+1=6c0->63
98+98->8+8=6c1,9+9+1=9c1->196
68+75->8+5=3c1,6+7+1=4c1->143
51+1->1+1=2,5+0=5->52
94+62->4+2=6,9+6=5c1->156
68+24->8+4=2c1,6+2+1=9c0->92
11+69->1+9=0c1,1+6+1=8c0->80
7+19->7+9=6c1,0+1+1=2c0->26
59+13->9+3=2c1,5+1+1=7c0->72
38+5->8+5=3c1,3+0+1=4c0->43
18+11->8+1=9,1+1=2->29
89+54->9+4=3c1,8+5+1=4c1->143
33+4->3+4=7,3+0=3->37
4+81->4+1=5,0+8=8->85
18+38->8+8=6c1,1+3+1=5c0->56
58+49->8+9=7c1,5+4+1=0c1->107
21+29->1+9=0c1,2+2+1=5c0->50
85+68->5+8=3c1,8+6+1=5c1->153
19+87->9+7=6c1,1+8+1=0c1->106
5+60->5+0=5,0+6=6->65
6+50->6+0=6,0+5=5->56
74+25->4+5=9,7+2=9->99
31+22->1+2=3,3+2=5->53
78+79->8+9=7c1,7+7+1=5c1->157
13+80->3+0=3,1+8=9->93
61+37->1+7=8,6+3=9->98
99+32->9+2=1c1,9+3+1=3c1->131
61+57->1+7=8,6+5=1c1->118
26+32->6+2=8,2+3=5->58
30+77->0+7=7,3+7=0c1->107
83+38->3+8=1c1,8+3+1=2c1->121
73+94->3+4=7,7+9=6c1->167
99+11->9+1=0c1,9+1+1=1c1->110
74+29->4+9=3c1,7+2+1=0c1->103
61+15->1+5=6,6+1=7->76
93+5->3+5=8,9+0=9->98
80+89->0+9=9,8+8=6c1->169
44+95->4+5=9,4+9=3c1->139
99+8->9+8=7c1,9+0+1=0c1->107
52+33->2+3=5,5+3=8->85
35+84->5+4=9,3+8=1c1->119
38+72->8+2=0c1,3+7+1=1c1->110
20+64->0+4=4,2+6=8->84
47+65->7+5=2c1,4+6+1=1c1->112
69+64->9+4=3c1,6+6+1=3c1->133
30+4->0+4=4,3+0=3->34
23+3->3+3=6,2+0=2->26
5+47->5+7=2c1,0+4+1=5c0->52
32+60->2+0=2,3+6=9->92
70+91->0+1=1,7+9=6c1->161
75+30->5+0=5,7+3=0c1->105
73+85->3+5=8,7+8=5c1->158
64+13->4+3=7,6+1=7->77
98+5->8+5=3c1,9+0+1=0c1->103
9+93->9+3=2c1,0+9+1=0c1->102
24+65->4+5=9,2+6=8->89
75+91->5+1=6,7+9=6c1->166
85+74->5+4=9,8+7=5c1->159
76+9->6+9=5c1,7+0+1=8c0->85
60+25->0+5=5,6+2=8->85
42+38->2+8=0c1,4+3+1=8c0->80
53+86->3+6=9,5+8=3c1->139
99+33->9+3=2c1,9+3+1=3c1->132
41+77->1+7=8,4+7=1c1->118
45+29->5+9=4c1,4+2+1=7c0->74
95+63->5+3=8,9+6=5c1->158
87+6->7+6=3c1,8+0+1=9c0->93
43+2->3+2=5,4+0=4->45
92+35->2+5=7,9+3=2c1->127
97+89->7+9=6c1,9+8+1=8c1->186
92+66->2+6=8,9+6=5c1->158
96+45->6+5=1c1,9+4+1=4c1->141
72+74->2+4=6,7+7=4c1->146
98+93->8+3=1c1,9+9+1=9c1->191
50+32->0+2=2,5+3=8->82
69+27->9+7=6c1,6+2+1=9c0->96
31+55->1+5=6,3+5=8->86
38+80->8+0=8,3+8=1c1->118
19+70->9+0=9,1+7=8->89
19+89->9+9=8c1,1+8+1=0c1->108
71+69->1+9=0c1,7+6+1=4c1->140
88+46->8+6=4c1,8+4+1=3c1->134
27+8->7+8=5c1,2+0+1=3c0->35
98+47->8+7=5c1,9+4+1=4c1->145
99+23->9+3=2c1,9+2+1=2c1->122
16+18->6+8=4c1,1+1+1=3c0->34
74+31->4+1=5,7+3=0c1->105
17+83->7+3=0c1,1+8+1=0c1->100
23+60->3+0=3,2+6=8->83
25+41->5+1=6,2+4=6->66
97+97->7+7=4c1,9+9+1=9c1->194
63+45->3+5=8,6+4=0c1->108
56+68->6+8=4c1,5+6+1=2c1->124
44+83->4+3=7,4+8=2c1->127
82+94->2+4=6,8+9=7c1->176
20+91->0+1=1,2+9=1c1->111
32+83->2+3=5,3+8=1c1->115
43+31->3+1=4,4+3=7->74
68+35->8+5=3c1,6+3+1=0c1->103
20+88->0+8=8,2+8=0c1->108
26+71->6+1=7,2+7=9->97
95+99->5+9=4c1,9+9+1=9c1->194
61+21->1+1=2,6+2=8->82
22+91->2+1=3,2+9=1c1->113
1+57->1+7=8,0+5=5->58
42+85->2+5=7,4+8=2c1->127
19+91->9+1=0c1,1+9+1=1c1->110
25+46->5+6=1c1,2+4+1=7c0->71
91+66->1+6=7,9+6=5c1->157
9+28->9+8=7c1,0+2+1=3c0->37
54+83->4+3=7,5+8=3c1->137
93+74->3+4=7,9+7=6c1->167
82+41->2+1=3,8+4=2c1->123
60+99->0+9=9,6+9=5c1->159
92+45->2+5=7,9+4=3c1->137
96+69->6+9=5c1,9+6+1=6c1->165
19+93->9+3=2c1,1+9+1=1c1->112
70+52->0+2=2,7+5=2c1->122
99+6->9+6=5c1,9+0+1=0c1->105
32+55->2+5=7,3+5=8->87
83+58->3+8=1c1,8+5+1=4c1->141
44+56->4+6=0c1,4+5+1=0c1->100
51+46->1+6=7,5+4=9->97
44+39->4+9=3c1,4+3+1=8c0->83
84+1->4+1=5,8+0=8->85
42+66->2+6=8,4+6=0c1->108
46+60->6+0=6,4+6=0c1->106
31+48->1+8=9,3+4=7->79
2+70->2+0=2,0+7=7->72
75+71->5+1=6,7+7=4c1->146
66+17->6+7=3c1,6+1+1=8c0->83
4+15->4+5=9,0+1=1->19
72+86->2+6=8,7+8=5c1->158
64+7->4+7=1c1,6+0+1=7c0->71
72+80->2+0=2,7+8=5c1->152
34+45->4+5=9,3+4=7->79
23+1->3+1=4,2+0=2->24
9+74->9+4=3c1,0+7+1=8c0->83
66+75->6+5=1c1,6+7+1=4c1->141
78+72->8+2=0c1,7+7+1=5c1->150
53+3->3+3=6,5+0=5->56
34+18->4+8=2c1,3+1+1=5c0->52
83+16->3+6=9,8+1=9->99
28+58->8+8=6c1,2+5+1=8c0->86
74+24->4+4=8,7+2=9->98
16+35->6+5=1c1,1+3+1=5c0->51
76+86->6+6=2c1,7+8+1=6c1->162
22+60->2+0=2,2+6=8->82
91+40->1+0=1,9+4=3c1->131
93+24->3+4=7,9+2=1c1->117
94+92->4+2=6,9+9=8c1->186
25+14->5+4=9,2+1=3->39
52+75->2+5=7,5+7=2c1->127
56+85->6+5=1c1,5+8+1=4c1->141
73+4->3+4=7,7+0=7->77
49+90->9+0=9,4+9=3c1->139
27+92->7+2=9,2+9=1c1->119
5+64->5+4=9,0+6=6->69
81+76->1+6=7,8+7=5c1->157
79+17->9+7=6c1,7+1+1=9c0->96
4+92->4+2=6,0+9=9->96
74+6->4+6=0c1,7+0+1=8c0->80
19+51->9+1=0c1,1+5+1=7c0->70
1+39->1+9=0c1,0+3+1=4c0->40
91+88->1+8=9,9+8=7c1->179
62+72->2+2=4,6+7=3c1->134
52+83->2+3=5,5+8=3c1->135
79+51->9+1=0c1,7+5+1=3c1->130
38+13->8+3=1c1,3+1+1=5c0->51
68+2->8+2=0c1,6+0+1=7c0->70
42+99->2+9=1c1,4+9+1=4c1->141
21+76->1+6=7,2+7=9->97
66+45->6+5=1c1,6+4+1=1c1->111
3+83->3+3=6,0+8=8->86
67+98->7+8=5c1,6+9+1=6c1->165
15+69->5+9=4c1,1+6+1=8c0->84
91+21->1+1=2,9+2=1c1->112
72+89->2+9=1c1,7+8+1=6c1->161
95+17->5+7=2c1,9+1+1=1c1->112
40+72->0+2=2,4+7=1c1->112
98+16->8+6=4c1,9+1+1=1c1->114
39+57->9+7=6c1,3+5+1=9c0->96
96+70->6+0=6,9+7=6c1->166
85+84->5+4=9,8+8=6c1->169
82+56->2+6=8,8+5=3c1->138
12+97->2+7=9,1+9=0c1->109
48+75->8+5=3c1,4+7+1=2c1->123
54+52->4+2=6,5+5=0c1->106
71+33->1+3=4,7+3=0c1->104
96+22->6+2=8,9+2=1c1->118
44+61->4+1=5,4+6=0c1->105
59+90->9+0=9,5+9=4c1->149
20+43->0+3=3,2+4=6->63
58+47->8+7=5c1,5+4+1=0c1->105
66+8->6+8=4c1,6+0+1=7c0->74
49+2->9+2=1c1,4+0+1=5c0->51
20+90->0+0=0,2+9=1c1->110
2+53->2+3=5,0+5=5->55
49+11->9+1=0c1,4+1+1=6c0->60
89+32->9+2=1c1,8+3+1=2c1->121
2+61->2+1=3,0+6=6->63
88+13->8+3=1c1,8+1+1=0c1->101
13+17->3+7=0c1,1+1+1=3c0->30
96+93->6+3=9,9+9=8c1->189
87+60->7+0=7,8+6=4c1->147
51+19->1+9=0c1,5+1+1=7c0->70
92+72->2+2=4,9+7=6c1->164
56+75->6+5=1c1,5+7+1=3c1->131
11+93->1+3=4,1+9=0c1->104
30+62->0+2=2,3+6=9->92
97+25->7+5=2c1,9+2+1=2c1->122
97+30->7+0=7,9+3=2c1->127
49+93->9+3=2c1,4+9+1=4c1->142
5+3->5+3=8->8
74+2->4+2=6,7+0=7->76
62+63->2+3=5,6+6=2c1->125
56+59->6+9=5c1,5+5+1=1c1->115
93+66->3+6=9,9+6=5c1->159
33+69->3+9=2c1,3+6+1=0c1->102
72+16->2+6=8,7+1=8->88
72+62->2+2=4,7+6=3c1->134
69+32->9+2=1c1,6+3+1=0c1->101
85+60->5+0=5,8+6=4c1->145
14+73->4+3=7,1+7=8->87
21+18->1+8=9,2+1=3->39
11+82->1+2=3,1+8=9->93
47+24->7+4=1c1,4+2+1=7c0->71
57+88->7+8=5c1,5+8+1=4c1->145
9+57->9+7=6c1,0+5+1=6c0->66
23+75->3+5=8,2+7=9->98
51+77->1+7=8,5+7=2c1->128
25+31->5+1=6,2+3=5->56
17+88->7+8=5c1,1+8+1=0c1->105
89+22->9+2=1c1,8+2+1=1c1->111
85+90->5+0=5,8+9=7c1->175
7+9->7+9=6c1->16
60+47->0+7=7,6+4=0c1->107
58+57->8+7=5c1,5+5+1=1c1->115
42+21->2+1=3,4+2=6->63
40+6->0+6=6,4+0=4->46
10+88->0+8=8,1+8=9->98
24+46->4+6=0c1,2+4+1=7c0->70
98+69->8+9=7c1,9+6+1=6c1->167
34+83->4+3=7,3+8=1c1->117
16+41->6+1=7,1+4=5->57
96+80->6+0=6,9+8=7c1->176
66+58->6+8=4c1,6+5+1=2c1->124
38+74->8+4=2c1,3+7+1=1c1->112
33+86->3+6=9,3+8=1c1->119
20+51->0+1=1,2+5=7->71
35+89->5+9=4c1,3+8+1=2c1->124
47+32->7+2=9,4+3=7->79
2+17->2+7=9,0+1=1->19
40+13->0+3=3,4+1=5->53
49+61->9+1=0c1,4+6+1=1c1->110
95+16->5+6=1c1,9+1+1=1c1->111
85+8->5+8=3c1,8+0+1=9c0->93
94+68->4+8=2c1,9+6+1=6c1->162
76+19->6+9=5c1,7+1+1=9c0->95
72+58->2+8=0c1,7+5+1=3c1->130
26+84->6+4=0c1,2+8+1=1c1->110
34+59->4+9=3c1,3+5+1=9c0->93
24+74->4+4=8,2+7=9->98
59+81->9+1=0c1,5+8+1=4c1->140
28+42->8+2=0c1,2+4+1=7c0->70
32+71->2+1=3,3+7=0c1->103
96+86->6+6=2c1,9+8+1=8c1->182
94+84->4+4=8,9+8=7c1->178
68+67->8+7=5c1,6+6+1=3c1->135
55+51->5+1=6,5+5=0c1->106
70+54->0+4=4,7+5=2c1->124
29+28->9+8=7c1,2+2+1=5c0->57
65+76->5+6=1c1,6+7+1=4c1->141
83+55->3+5=8,8+5=3c1->138
56+17->6+7=3c1,5+1+1=7c0->73
93+60->3+0=3,9+6=5c1->153
82+9->2+9=1c1,8+0+1=9c0->91
14+67->4+7=1c1,1+6+1=8c0->81
20+45->0+5=5,2+4=6->65
60+78->0+8=8,6+7=3c1->138
90+10->0+0=0,9+1=0c1->100
18+15->8+5=3c1,1+1+1=3c0->33
77+36->7+6=3c1,7+3+1=1c1->113
17+63->7+3=0c1,1+6+1=8c0->80
9+42->9+2=1c1,0+4+1=5c0->51
94+57->4+7=1c1,9+5+1=5c1->151
47+12->7+2=9,4+1=5->59
78+2->8+2=0c1,7+0+1=8c0->80
27+49->7+9=6c1,2+4+1=7c0->76
58+12->8+2=0c1,5+1+1=7c0->70
73+16->3+6=9,7+1=8->89
29+13->9+3=2c1,2+1+1=4c0->42
4+48->4+8=2c1,0+4+1=5c0->52
70+62->0+2=2,7+6=3c1->132
12+14->2+4=6,1+1=2->26
51+22->1+2=3,5+2=7->73
90+99->0+9=9,9+9=8c1->189
47+77->7+7=4c1,4+7+1=2c1->124
13+82->3+2=5,1+8=9->95
68+41->8+1=9,6+4=0c1->109
26+38->6+8=4c1,2+3+1=6c0->64
84+73->4+3=7,8+7=5c1->157
76+28->6+8=4c1,7+2+1=0c1->104
87+15->7+5=2c1,8+1+1=0c1->102
37+72->7+2=9,3+7=0c1->109
2+8->2+8=0c1->10
46+39->6+9=5c1,4+3+1=8c0->85
13+42->3+2=5,1+4=5->55
88+33->8+3=1c1,8+3+1=2c1->121
2+78->2+8=0c1,0+7+1=8c0->80
51+12->1+2=3,5+1=6->63
56+79->6+9=5c1,5+7+1=3c1->135
22+21->2+1=3,2+2=4->43
40+79->0+9=9,4+7=1c1->119
57+72->7+2=9,5+7=2c1->129
78+55->8+5=3c1,7+5+1=3c1->133
51+64->1+4=5,5+6=1c1->115
19+72->9+2=1c1,1+7+1=9c0->91
47+48->7+8=5c1,4+4+1=9c0->95
71+58->1+8=9,7+5=2c1->129
91+62->1+2=3,9+6=5c1->153
94+48->4+8=2c1,9+4+1=4c1->142
40+14->0+4=4,4+1=5->54
63+62->3+2=5,6+6=2c1->125
13+54->3+4=7,1+5=6->67
80+54->0+4=4,8+5=3c1->134
83+7->3+7=0c1,8+0+1=9c0->90
31+58->1+8=9,3+5=8->89
42+72->2+2=4,4+7=1c1->114
61+69->1+9=0c1,6+6+1=3c1->130
28+1->8+1=9,2+0=2->29
4+83->4+3=7,0+8=8->87
35+64->5+4=9,3+6=9->99
57+58->7+8=5c1,5+5+1=1c1->115
69+22->9+2=1c1,6+2+1=9c0->91
89+18->9+8=7c1,8+1+1=0c1->107
26+6->6+6=2c1,2+0+1=3c0->32
28+17->8+7=5c1,2+1+1=4c0->45
68+55->8+5=3c1,6+5+1=2c1->123
5+38->5+8=3c1,0+3+1=4c0->43
46+32->6+2=8,4+3=7->78
26+22->6+2=8,2+2=4->48
37+26->7+6=3c1,3+2+1=6c0->63
25+49->5+9=4c1,2+4+1=7c0->74
22+42->2+2=4,2+4=6->64
13+91->3+1=4,1+9=0c1->104
56+55->6+5=1c1,5+5+1=1c1->111
76+70->6+0=6,7+7=4c1->146
87+24->7+4=1c1,8+2+1=1c1->111
26+2->6+2=8,2+0=2->28
87+16->7+6=3c1,8+1+1=0c1->103
28+31->8+1=9,2+3=5->59
14+36->4+6=0c1,1+3+1=5c0->50
77+21->7+1=8,7+2=9->98
82+2->2+2=4,8+0=8->84
54+18->4+8=2c1,5+1+1=7c0->72
27+44->7+4=1c1,2+4+1=7c0->71
34+23->4+3=7,3+2=5->57
28+12->8+2=0c1,2+1+1=4c0->40
90+29->0+9=9,9+2=1c1->119
12+15->2+5=7,1+1=2->27
86+55->6+5=1c1,8+5+1=4c1->141
27+4->7+4=1c1,2+0+1=3c0->31
97+1->7+1=8,9+0=9->98
15+16->5+6=1c1,1+1+1=3c0->31
52+44->2+4=6,5+4=9->96
12+2->2+2=4,1+0=1->14
87+72->7+2=9,8+7=5c1->159
25+92->5+2=7,2+9=1c1->117
21+92->1+2=3,2+9=1c1->113
4+53->4+3=7,0+5=5->57
74+45->4+5=9,7+4=1c1->119
21+34->1+4=5,2+3=5->55
66+50->6+0=6,6+5=1c1->116
98+76->8+6=4c1,9+7+1=7c1->174
41+30->1+0=1,4+3=7->71
96+37->6+7=3c1,9+3+1=3c1->133
20+29->0+9=9,2+2=4->49
96+55->6+5=1c1,9+5+1=5c1->151
81+4->1+4=5,8+0=8->85
38+39->8+9=7c1,3+3+1=7c0->77
3+62->3+2=5,0+6=6->65
52+86->2+6=8,5+8=3c1->138
59+77->9+7=6c1,5+7+1=3c1->136
15+87->5+7=2c1,1+8+1=0c1->102
70+90->0+0=0,7+9=6c1->160
53+36->3+6=9,5+3=8->89
35+52->5+2=7,3+5=8->87
42+7->2+7=9,4+0=4->49
2+26->2+6=8,0+2=2->28
32+68->2+8=0c1,3+6+1=0c1->100
88+98->8+8=6c1,8+9+1=8c1->186
58+7->8+7=5c1,5+0+1=6c0->65
22+68->2+8=0c1,2+6+1=9c0->90
33+71->3+1=4,3+7=0c1->104
5+69->5+9=4c1,0+6+1=7c0->74
90+86->0+6=6,9+8=7c1->176
64+45->4+5=9,6+4=0c1->109
9+37->9+7=6c1,0+3+1=4c0->46
60+96->0+6=6,6+9=5c1->156
65+74->5+4=9,6+7=3c1->139
44+89->4+9=3c1,4+8+1=3c1->133
96+96->6+6=2c1,9+9+1=9c1->192
68+95->8+5=3c1,6+9+1=6c1->163
12+95->2+5=7,1+9=0c1->107
15+39->5+9=4c1,1+3+1=5c0->54
16+3->6+3=9,1+0=1->19
72+31->2+1=3,7+3=0c1->103
91+64->1+4=5,9+6=5c1->155
28+56->8+6=4c1,2+5+1=8c0->84
14+11->4+1=5,1+1=2->25
14+45->4+5=9,1+4=5->59
75+78->5+8=3c1,7+7+1=5c1->153
77+47->7+7=4c1,7+4+1=2c1->124
98+58->8+8=6c1,9+5+1=5c1->156
12+77->2+7=9,1+7=8->89
96+67->6+7=3c1,9+6+1=6c1->163
96+87->6+7=3c1,9+8+1=8c1->183
54+80->4+0=4,5+8=3c1->134
87+92->7+2=9,8+9=7c1->179
35+60->5+0=5,3+6=9->95
5+31->5+1=6,0+3=3->36
10+74->0+4=4,1+7=8->84
44+21->4+1=5,4+2=6->65
45+83->5+3=8,4+8=2c1->128
29+19->9+9=8c1,2+1+1=4c0->48
41+7->1+7=8,4+0=4->48
6+9->6+9=5c1->15
63+70->3+0=3,6+7=3c1->133
46+81->6+1=7,4+8=2c1->127
64+26->4+6=0c1,6+2+1=9c0->90
37+30->7+0=7,3+3=6->67
31+9->1+9=0c1,3+0+1=4c0->40
48+63->8+3=1c1,4+6+1=1c1->111
46+29->6+9=5c1,4+2+1=7c0->75
76+63->6+3=9,7+6=3c1->139
31+2->1+2=3,3+0=3->33
46+6->6+6=2c1,4+0+1=5c0->52
83+54->3+4=7,8+5=3c1->137
7+22->7+2=9,0+2=2->29
19+67->9+7=6c1,1+6+1=8c0->86
45+33->5+3=8,4+3=7->78
64+98->4+8=2c1,6+9+1=6c1->162
43+52->3+2=5,4+5=9->95
1+12->1+2=3,0+1=1->13
18+14->8+4=2c1,1+1+1=3c0->32
97+63->7+3=0c1,9+6+1=6c1->160
6+88->6+8=4c1,0+8+1=9c0->94
7+29->7+9=6c1,0+2+1=3c0->36
64+79->4+9=3c1,6+7+1=4c1->143
94+4->4+4=8,9+0=9->98
3+78->3+8=1c1,0+7+1=8c0->81
77+1->7+1=8,7+0=7->78
73+62->3+2=5,7+6=3c1->135
84+61->4+1=5,8+6=4c1->145
93+98->3+8=1c1,9+9+1=9c1->191
24+11->4+1=5,2+1=3->35
11+91->1+1=2,1+9=0c1->102
79+96->9+6=5c1,7+9+1=7c1->175
15+45->5+5=0c1,1+4+1=6c0->60
90+91->0+1=1,9+9=8c1->181
59+62->9+2=1c1,5+6+1=2c1->121
68+47->8+7=5c1,6+4+1=1c1->115
1+85->1+5=6,0+8=8->86
34+22->4+2=6,3+2=5->56
76+69->6+9=5c1,7+6+1=4c1->145
62+57->2+7=9,6+5=1c1->119
92+12->2+2=4,9+1=0c1->104
49+5->9+5=4c1,4+0+1=5c0->54
76+79->6+9=5c1,7+7+1=5c1->155
72+93->2+3=5,7+9=6c1->165
20+85->0+5=5,2+8=0c1->105
89+27->9+7=6c1,8+2+1=1c1->116
54+90->4+0=4,5+9=4c1->144
53+37->3+7=0c1,5+3+1=9c0->90
72+78->2+8=0c1,7+7+1=5c1->150
83+37->3+7=0c1,8+3+1=2c1->120
51+49->1+9=0c1,5+4+1=0c1->100
56+53->6+3=9,5+5=0c1->109
75+66->5+6=1c1,7+6+1=4c1->141
14+31->4+1=5,1+3=4->45
