53+11->3+1=4,5+1=6->64
11+38->1+8=9,1+3=4->49
67+79->7+9=6c1,6+7+1=4c1->146
94+38->4+8=2c1,9+3+1=3c1->132
58+53->8+3=1c1,5+5+1=1c1->111
26+81->6+1=7,2+8=0c1->107
24+38->4+8=2c1,2+3+1=6c0->62
58+27->8+7=5c1,5+2+1=8c0->85
7+28->7+8=5c1,0+2+1=3c0->35
25+79->5+9=4c1,2+7+1=0c1->104
3+78->3+8=1c1,0+7+1=8c0->81
67+60->7+0=7,6+6=2c1->127
19+55->9+5=4c1,1+5+1=7c0->74
16+68->6+8=4c1,1+6+1=8c0->84
33+20->3+0=3,3+2=5->53
85+14->5+4=9,8+1=9->99
12+47->2+7=9,1+4=5->59
69+13->9+3=2c1,6+1+1=8c0->82
17+81->7+1=8,1+8=9->98
17+97->7+7=4c1,1+9+1=1c1->114
13+91->3+1=4,1+9=0c1->104
97+60->7+0=7,9+6=5c1->157
69+23->9+3=2c1,6+2+1=9c0->92
98+54->8+4=2c1,9+5+1=5c1->152
20+15->0+5=5,2+1=3->35
99+21->9+1=0c1,9+2+1=2c1->120
90+70->0+0=0,9+7=6c1->160
78+84->8+4=2c1,7+8+1=6c1->162
46+28->6+8=4c1,4+2+1=7c0->74
62+1->2+1=3,6+0=6->63
47+73->7+3=0c1,4+7+1=2c1->120
62+68->2+8=0c1,6+6+1=3c1->130
91+22->1+2=3,9+2=1c1->113
95+84->5+4=9,9+8=7c1->179
92+55->2+5=7,9+5=4c1->147
79+19->9+9=8c1,7+1+1=9c0->98
73+72->3+2=5,7+7=4c1->145
62+57->2+7=9,6+5=1c1->119
82+31->2+1=3,8+3=1c1->113
28+64->8+4=2c1,2+6+1=9c0->92
24+83->4+3=7,2+8=0c1->107
29+52->9+2=1c1,2+5+1=8c0->81
92+12->2+2=4,9+1=0c1->104
57+12->7+2=9,5+1=6->69
20+12->0+2=2,2+1=3->32
41+80->1+0=1,4+8=2c1->121
99+43->9+3=2c1,9+4+1=4c1->142
86+57->6+7=3c1,8+5+1=4c1->143
24+13->4+3=7,2+1=3->37
31+33->1+3=4,3+3=6->64
62+30->2+0=2,6+3=9->92
97+35->7+5=2c1,9+3+1=3c1->132
47+63->7+3=0c1,4+6+1=1c1->110
5+31->5+1=6,0+3=3->36
50+66->0+6=6,5+6=1c1->116
83+20->3+0=3,8+2=0c1->103
56+33->6+3=9,5+3=8->89
66+32->6+2=8,6+3=9->98
35+2->5+2=7,3+0=3->37
90+63->0+3=3,9+6=5c1->153
73+34->3+4=7,7+3=0c1->107
54+71->4+1=5,5+7=2c1->125
11+77->1+7=8,1+7=8->88
57+92->7+2=9,5+9=4c1->149
48+2->8+2=0c1,4+0+1=5c0->50
42+1->2+1=3,4+0=4->43
59+63->9+3=2c1,5+6+1=2c1->122
69+68->9+8=7c1,6+6+1=3c1->137
99+12->9+2=1c1,9+1+1=1c1->111
23+13->3+3=6,2+1=3->36
36+91->6+1=7,3+9=2c1->127
39+92->9+2=1c1,3+9+1=3c1->131
43+7->3+7=0c1,4+0+1=5c0->50
15+9->5+9=4c1,1+0+1=2c0->24
19+89->9+9=8c1,1+8+1=0c1->108
49+38->9+8=7c1,4+3+1=8c0->87
78+31->8+1=9,7+3=0c1->109
17+10->7+0=7,1+1=2->27
53+17->3+7=0c1,5+1+1=7c0->70
62+26->2+6=8,6+2=8->88
33+43->3+3=6,3+4=7->76
31+53->1+3=4,3+5=8->84
60+19->0+9=9,6+1=7->79
96+70->6+0=6,9+7=6c1->166
95+6->5+6=1c1,9+0+1=0c1->101
97+99->7+9=6c1,9+9+1=9c1->196
57+84->7+4=1c1,5+8+1=4c1->141
53+5->3+5=8,5+0=5->58
11+19->1+9=0c1,1+1+1=3c0->30
92+62->2+2=4,9+6=5c1->154
77+19->7+9=6c1,7+1+1=9c0->96
12+19->2+9=1c1,1+1+1=3c0->31
58+15->8+5=3c1,5+1+1=7c0->73
53+20->3+0=3,5+2=7->73
10+68->0+8=8,1+6=7->78
58+65->8+5=3c1,5+6+1=2c1->123
92+57->2+7=9,9+5=4c1->149
44+16->4+6=0c1,4+1+1=6c0->60
81+20->1+0=1,8+2=0c1->101
29+75->9+5=4c1,2+7+1=0c1->104
92+95->2+5=7,9+9=8c1->187
82+95->2+5=7,8+9=7c1->177
24+33->4+3=7,2+3=5->57
99+46->9+6=5c1,9+4+1=4c1->145
54+36->4+6=0c1,5+3+1=9c0->90
91+2->1+2=3,9+0=9->93
7+41->7+1=8,0+4=4->48
61+14->1+4=5,6+1=7->75
95+30->5+0=5,9+3=2c1->125
67+19->7+9=6c1,6+1+1=8c0->86
30+39->0+9=9,3+3=6->69
93+33->3+3=6,9+3=2c1->126
22+92->2+2=4,2+9=1c1->114
58+75->8+5=3c1,5+7+1=3c1->133
56+89->6+9=5c1,5+8+1=4c1->145
24+9->4+9=3c1,2+0+1=3c0->33
5+21->5+1=6,0+2=2->26
82+67->2+7=9,8+6=4c1->149
77+23->7+3=0c1,7+2+1=0c1->100
87+1->7+1=8,8+0=8->88
88+47->8+7=5c1,8+4+1=3c1->135
3+8->3+8=1c1->11
36+9->6+9=5c1,3+0+1=4c0->45
81+52->1+2=3,8+5=3c1->133
80+6->0+6=6,8+0=8->86
71+34->1+4=5,7+3=0c1->105
76+7->6+7=3c1,7+0+1=8c0->83
31+46->1+6=7,3+4=7->77
59+19->9+9=8c1,5+1+1=7c0->78
69+33->9+3=2c1,6+3+1=0c1->102
82+8->2+8=0c1,8+0+1=9c0->90
10+4->0+4=4,1+0=1->14
44+92->4+2=6,4+9=3c1->136
85+71->5+1=6,8+7=5c1->156
60+90->0+0=0,6+9=5c1->150
29+71->9+1=0c1,2+7+1=0c1->100
77+84->7+4=1c1,7+8+1=6c1->161
48+83->8+3=1c1,4+8+1=3c1->131
37+35->7+5=2c1,3+3+1=7c0->72
21+17->1+7=8,2+1=3->38
54+68->4+8=2c1,5+6+1=2c1->122
48+75->8+5=3c1,4+7+1=2c1->123
98+75->8+5=3c1,9+7+1=7c1->173
81+35->1+5=6,8+3=1c1->116
36+93->6+3=9,3+9=2c1->129
2+6->2+6=8->8
21+62->1+2=3,2+6=8->83
13+82->3+2=5,1+8=9->95
19+68->9+8=7c1,1+6+1=8c0->87
13+9->3+9=2c1,1+0+1=2c0->22
79+52->9+2=1c1,7+5+1=3c1->131
8+16->8+6=4c1,0+1+1=2c0->24
42+13->2+3=5,4+1=5->55
96+15->6+5=1c1,9+1+1=1c1->111
33+60->3+0=3,3+6=9->93
67+61->7+1=8,6+6=2c1->128
5+93->5+3=8,0+9=9->98
31+48->1+8=9,3+4=7->79
75+58->5+8=3c1,7+5+1=3c1->133
24+67->4+7=1c1,2+6+1=9c0->91
75+38->5+8=3c1,7+3+1=1c1->113
82+75->2+5=7,8+7=5c1->157
83+11->3+1=4,8+1=9->94
48+31->8+1=9,4+3=7->79
48+57->8+7=5c1,4+5+1=0c1->105
18+31->8+1=9,1+3=4->49
67+82->7+2=9,6+8=4c1->149
42+78->2+8=0c1,4+7+1=2c1->120
42+40->2+0=2,4+4=8->82
60+4->0+4=4,6+0=6->64
2+95->2+5=7,0+9=9->97
33+25->3+5=8,3+2=5->58
88+59->8+9=7c1,8+5+1=4c1->147
90+9->0+9=9,9+0=9->99
47+55->7+5=2c1,4+5+1=0c1->102
57+93->7+3=0c1,5+9+1=5c1->150
26+27->6+7=3c1,2+2+1=5c0->53
49+45->9+5=4c1,4+4+1=9c0->94
13+83->3+3=6,1+8=9->96
56+56->6+6=2c1,5+5+1=1c1->112
92+70->2+0=2,9+7=6c1->162
38+4->8+4=2c1,3+0+1=4c0->42
71+41->1+1=2,7+4=1c1->112
4+27->4+7=1c1,0+2+1=3c0->31
75+34->5+4=9,7+3=0c1->109
3+84->3+4=7,0+8=8->87
67+8->7+8=5c1,6+0+1=7c0->75
82+94->2+4=6,8+9=7c1->176
64+11->4+1=5,6+1=7->75
85+93->5+3=8,8+9=7c1->178
90+35->0+5=5,9+3=2c1->125
67+55->7+5=2c1,6+5+1=2c1->122
2+87->2+7=9,0+8=8->89
7+84->7+4=1c1,0+8+1=9c0->91
13+34->3+4=7,1+3=4->47
50+59->0+9=9,5+5=0c1->109
56+21->6+1=7,5+2=7->77
2+59->2+9=1c1,0+5+1=6c0->61
27+24->7+4=1c1,2+2+1=5c0->51
68+82->8+2=0c1,6+8+1=5c1->150
5+3->5+3=8->8
38+78->8+8=6c1,3+7+1=1c1->116
27+73->7+3=0c1,2+7+1=0c1->100
43+25->3+5=8,4+2=6->68
37+64->7+4=1c1,3+6+1=0c1->101
35+1->5+1=6,3+0=3->36
37+23->7+3=0c1,3+2+1=6c0->60
73+10->3+0=3,7+1=8->83
68+1->8+1=9,6+0=6->69
30+15->0+5=5,3+1=4->45
30+11->0+1=1,3+1=4->41
48+80->8+0=8,4+8=2c1->128
29+87->9+7=6c1,2+8+1=1c1->116
69+36->9+6=5c1,6+3+1=0c1->105
55+17->5+7=2c1,5+1+1=7c0->72
93+92->3+2=5,9+9=8c1->185
17+70->7+0=7,1+7=8->87
54+10->4+0=4,5+1=6->64
22+65->2+5=7,2+6=8->87
91+74->1+4=5,9+7=6c1->165
85+58->5+8=3c1,8+5+1=4c1->143
8+59->8+9=7c1,0+5+1=6c0->67
51+25->1+5=6,5+2=7->76
1+83->1+3=4,0+8=8->84
29+40->9+0=9,2+4=6->69
18+9->8+9=7c1,1+0+1=2c0->27
6+32->6+2=8,0+3=3->38
40+17->0+7=7,4+1=5->57
57+23->7+3=0c1,5+2+1=8c0->80
17+44->7+4=1c1,1+4+1=6c0->61
50+84->0+4=4,5+8=3c1->134
34+30->4+0=4,3+3=6->64
50+48->0+8=8,5+4=9->98
93+66->3+6=9,9+6=5c1->159
48+60->8+0=8,4+6=0c1->108
64+9->4+9=3c1,6+0+1=7c0->73
97+87->7+7=4c1,9+8+1=8c1->184
45+7->5+7=2c1,4+0+1=5c0->52
90+19->0+9=9,9+1=0c1->109
64+85->4+5=9,6+8=4c1->149
31+23->1+3=4,3+2=5->54
6+15->6+5=1c1,0+1+1=2c0->21
39+23->9+3=2c1,3+2+1=6c0->62
20+67->0+7=7,2+6=8->87
68+80->8+0=8,6+8=4c1->148
33+94->3+4=7,3+9=2c1->127
63+66->3+6=9,6+6=2c1->129
95+13->5+3=8,9+1=0c1->108
99+28->9+8=7c1,9+2+1=2c1->127
59+67->9+7=6c1,5+6+1=2c1->126
32+11->2+1=3,3+1=4->43
69+5->9+5=4c1,6+0+1=7c0->74
30+45->0+5=5,3+4=7->75
15+79->5+9=4c1,1+7+1=9c0->94
47+60->7+0=7,4+6=0c1->107
6+78->6+8=4c1,0+7+1=8c0->84
79+54->9+4=3c1,7+5+1=3c1->133
79+63->9+3=2c1,7+6+1=4c1->142
27+75->7+5=2c1,2+7+1=0c1->102
11+76->1+6=7,1+7=8->87
77+26->7+6=3c1,7+2+1=0c1->103
56+60->6+0=6,5+6=1c1->116
94+94->4+4=8,9+9=8c1->188
96+18->6+8=4c1,9+1+1=1c1->114
47+94->7+4=1c1,4+9+1=4c1->141
25+56->5+6=1c1,2+5+1=8c0->81
88+7->8+7=5c1,8+0+1=9c0->95
98+56->8+6=4c1,9+5+1=5c1->154
97+15->7+5=2c1,9+1+1=1c1->112
67+24->7+4=1c1,6+2+1=9c0->91
91+98->1+8=9,9+9=8c1->189
38+73->8+3=1c1,3+7+1=1c1->111
72+53->2+3=5,7+5=2c1->125
48+41->8+1=9,4+4=8->89
91+10->1+0=1,9+1=0c1->101
38+71->8+1=9,3+7=0c1->109
79+43->9+3=2c1,7+4+1=2c1->122
67+26->7+6=3c1,6+2+1=9c0->93
22+9->2+9=1c1,2+0+1=3c0->31
98+60->8+0=8,9+6=5c1->158
87+37->7+7=4c1,8+3+1=2c1->124
64+3->4+3=7,6+0=6->67
66+99->6+9=5c1,6+9+1=6c1->165
86+10->6+0=6,8+1=9->96
2+28->2+8=0c1,0+2+1=3c0->30
8+78->8+8=6c1,0+7+1=8c0->86
53+38->3+8=1c1,5+3+1=9c0->91
26+98->6+8=4c1,2+9+1=2c1->124
79+61->9+1=0c1,7+6+1=4c1->140
13+63->3+3=6,1+6=7->76
26+74->6+4=0c1,2+7+1=0c1->100
51+39->1+9=0c1,5+3+1=9c0->90
32+7->2+7=9,3+0=3->39
24+69->4+9=3c1,2+6+1=9c0->93
55+38->5+8=3c1,5+3+1=9c0->93
10+77->0+7=7,1+7=8->87
39+1->9+1=0c1,3+0+1=4c0->40
92+98->2+8=0c1,9+9+1=9c1->190
23+14->3+4=7,2+1=3->37
94+10->4+0=4,9+1=0c1->104
76+12->6+2=8,7+1=8->88
41+16->1+6=7,4+1=5->57
61+10->1+0=1,6+1=7->71
42+8->2+8=0c1,4+0+1=5c0->50
76+24->6+4=0c1,7+2+1=0c1->100
27+26->7+6=3c1,2+2+1=5c0->53
13+30->3+0=3,1+3=4->43
94+42->4+2=6,9+4=3c1->136
70+49->0+9=9,7+4=1c1->119
19+36->9+6=5c1,1+3+1=5c0->55
16+57->6+7=3c1,1+5+1=7c0->73
85+44->5+4=9,8+4=2c1->129
83+82->3+2=5,8+8=6c1->165
76+83->6+3=9,7+8=5c1->159
49+26->9+6=5c1,4+2+1=7c0->75
53+8->3+8=1c1,5+0+1=6c0->61
45+46->5+6=1c1,4+4+1=9c0->91
50+81->0+1=1,5+8=3c1->131
57+63->7+3=0c1,5+6+1=2c1->120
10+37->0+7=7,1+3=4->47
60+40->0+0=0,6+4=0c1->100
93+69->3+9=2c1,9+6+1=6c1->162
58+30->8+0=8,5+3=8->88
90+8->0+8=8,9+0=9->98
41+63->1+3=4,4+6=0c1->104
99+3->9+3=2c1,9+0+1=0c1->102
40+45->0+5=5,4+4=8->85
20+47->0+7=7,2+4=6->67
23+47->3+7=0c1,2+4+1=7c0->70
89+61->9+1=0c1,8+6+1=5c1->150
82+60->2+0=2,8+6=4c1->142
85+12->5+2=7,8+1=9->97
51+56->1+6=7,5+5=0c1->107
4+64->4+4=8,0+6=6->68
82+72->2+2=4,8+7=5c1->154
90+14->0+4=4,9+1=0c1->104
20+69->0+9=9,2+6=8->89
3+67->3+7=0c1,0+6+1=7c0->70
36+26->6+6=2c1,3+2+1=6c0->62
33+44->3+4=7,3+4=7->77
95+23->5+3=8,9+2=1c1->118
27+11->7+1=8,2+1=3->38
41+13->1+3=4,4+1=5->54
88+71->8+1=9,8+7=5c1->159
76+57->6+7=3c1,7+5+1=3c1->133
51+28->1+8=9,5+2=7->79
71+44->1+4=5,7+4=1c1->115
91+92->1+2=3,9+9=8c1->183
31+4->1+4=5,3+0=3->35
29+94->9+4=3c1,2+9+1=2c1->123
43+12->3+2=5,4+1=5->55
57+65->7+5=2c1,5+6+1=2c1->122
67+96->7+6=3c1,6+9+1=6c1->163
73+87->3+7=0c1,7+8+1=6c1->160
52+43->2+3=5,5+4=9->95
21+2->1+2=3,2+0=2->23
39+66->9+6=5c1,3+6+1=0c1->105
26+5->6+5=1c1,2+0+1=3c0->31
25+18->5+8=3c1,2+1+1=4c0->43
75+29->5+9=4c1,7+2+1=0c1->104
99+2->9+2=1c1,9+0+1=0c1->101
12+81->2+1=3,1+8=9->93
51+95->1+5=6,5+9=4c1->146
82+37->2+7=9,8+3=1c1->119
35+8->5+8=3c1,3+0+1=4c0->43
51+29->1+9=0c1,5+2+1=8c0->80
84+17->4+7=1c1,8+1+1=0c1->101
74+32->4+2=6,7+3=0c1->106
65+87->5+7=2c1,6+8+1=5c1->152
68+81->8+1=9,6+8=4c1->149
23+45->3+5=8,2+4=6->68
43+16->3+6=9,4+1=5->59
10+8->0+8=8,1+0=1->18
31+89->1+9=0c1,3+8+1=2c1->120
4+92->4+2=6,0+9=9->96
96+94->6+4=0c1,9+9+1=9c1->190
47+68->7+8=5c1,4+6+1=1c1->115
50+35->0+5=5,5+3=8->85
93+50->3+0=3,9+5=4c1->143
41+8->1+8=9,4+0=4->49
3+24->3+4=7,0+2=2->27
17+53->7+3=0c1,1+5+1=7c0->70
64+22->4+2=6,6+2=8->86
98+1->8+1=9,9+0=9->99
5+10->5+0=5,0+1=1->15
96+87->6+7=3c1,9+8+1=8c1->183
17+79->7+9=6c1,1+7+1=9c0->96
80+80->0+0=0,8+8=6c1->160
80+55->0+5=5,8+5=3c1->135
33+65->3+5=8,3+6=9->98
82+89->2+9=1c1,8+8+1=7c1->171
78+32->8+2=0c1,7+3+1=1c1->110
69+64->9+4=3c1,6+6+1=3c1->133
89+50->9+0=9,8+5=3c1->139
47+42->7+2=9,4+4=8->89
44+45->4+5=9,4+4=8->89
33+24->3+4=7,3+2=5->57
51+78->1+8=9,5+7=2c1->129
67+69->7+9=6c1,6+6+1=3c1->136
34+13->4+3=7,3+1=4->47
52+35->2+5=7,5+3=8->87
28+5->8+5=3c1,2+0+1=3c0->33
8+63->8+3=1c1,0+6+1=7c0->71
29+24->9+4=3c1,2+2+1=5c0->53
38+3->8+3=1c1,3+0+1=4c0->41
43+85->3+5=8,4+8=2c1->128
91+8->1+8=9,9+0=9->99
25+65->5+5=0c1,2+6+1=9c0->90
81+69->1+9=0c1,8+6+1=5c1->150
46+74->6+4=0c1,4+7+1=2c1->120
72+93->2+3=5,7+9=6c1->165
66+5->6+5=1c1,6+0+1=7c0->71
25+93->5+3=8,2+9=1c1->118
21+33->1+3=4,2+3=5->54
56+63->6+3=9,5+6=1c1->119
50+18->0+8=8,5+1=6->68
45+25->5+5=0c1,4+2+1=7c0->70
13+39->3+9=2c1,1+3+1=5c0->52
42+15->2+5=7,4+1=5->57
16+94->6+4=0c1,1+9+1=1c1->110
51+15->1+5=6,5+1=6->66
70+38->0+8=8,7+3=0c1->108
74+95->4+5=9,7+9=6c1->169
77+73->7+3=0c1,7+7+1=5c1->150
31+42->1+2=3,3+4=7->73
61+82->1+2=3,6+8=4c1->143
19+31->9+1=0c1,1+3+1=5c0->50
52+47->2+7=9,5+4=9->99
1+98->1+8=9,0+9=9->99
12+32->2+2=4,1+3=4->44
88+52->8+2=0c1,8+5+1=4c1->140
89+52->9+2=1c1,8+5+1=4c1->141
79+34->9+4=3c1,7+3+1=1c1->113
55+84->5+4=9,5+8=3c1->139
61+97->1+7=8,6+9=5c1->158
86+60->6+0=6,8+6=4c1->146
26+2->6+2=8,2+0=2->28
12+41->2+1=3,1+4=5->53
67+23->7+3=0c1,6+2+1=9c0->90
67+34->7+4=1c1,6+3+1=0c1->101
57+91->7+1=8,5+9=4c1->148
70+69->0+9=9,7+6=3c1->139
22+98->2+8=0c1,2+9+1=2c1->120
63+72->3+2=5,6+7=3c1->135
37+1->7+1=8,3+0=3->38
42+37->2+7=9,4+3=7->79
2+21->2+1=3,0+2=2->23
86+52->6+2=8,8+5=3c1->138
26+54->6+4=0c1,2+5+1=8c0->80
27+30->7+0=7,2+3=5->57
26+64->6+4=0c1,2+6+1=9c0->90
39+67->9+7=6c1,3+6+1=0c1->106
77+46->7+6=3c1,7+4+1=2c1->123
27+98->7+8=5c1,2+9+1=2c1->125
24+74->4+4=8,2+7=9->98
27+58->7+8=5c1,2+5+1=8c0->85
40+59->0+9=9,4+5=9->99
94+76->4+6=0c1,9+7+1=7c1->170
93+11->3+1=4,9+1=0c1->104
42+94->2+4=6,4+9=3c1->136
27+6->7+6=3c1,2+0+1=3c0->33
27+99->7+9=6c1,2+9+1=2c1->126
37+42->7+2=9,3+4=7->79
10+10->0+0=0,1+1=2->20
27+21->7+1=8,2+2=4->48
10+56->0+6=6,1+5=6->66
36+30->6+0=6,3+3=6->66
35+78->5+8=3c1,3+7+1=1c1->113
20+60->0+0=0,2+6=8->80
50+90->0+0=0,5+9=4c1->140
52+48->2+8=0c1,5+4+1=0c1->100
5+20->5+0=5,0+2=2->25
59+65->9+5=4c1,5+6+1=2c1->124
1+58->1+8=9,0+5=5->59
1+71->1+1=2,0+7=7->72
82+93->2+3=5,8+9=7c1->175
43+82->3+2=5,4+8=2c1->125
84+80->4+0=4,8+8=6c1->164
19+81->9+1=0c1,1+8+1=0c1->100
47+12->7+2=9,4+1=5->59
41+71->1+1=2,4+7=1c1->112
87+94->7+4=1c1,8+9+1=8c1->181
99+93->9+3=2c1,9+9+1=9c1->192
38+87->8+7=5c1,3+8+1=2c1->125
54+41->4+1=5,5+4=9->95
71+93->1+3=4,7+9=6c1->164
55+55->5+5=0c1,5+5+1=1c1->110
54+43->4+3=7,5+4=9->97
67+56->7+6=3c1,6+5+1=2c1->123
43+78->3+8=1c1,4+7+1=2c1->121
67+43->7+3=0c1,6+4+1=1c1->110
87+72->7+2=9,8+7=5c1->159
24+49->4+9=3c1,2+4+1=7c0->73
6+35->6+5=1c1,0+3+1=4c0->41
78+23->8+3=1c1,7+2+1=0c1->101
13+3->3+3=6,1+0=1->16
88+84->8+4=2c1,8+8+1=7c1->172
51+44->1+4=5,5+4=9->95
6+99->6+9=5c1,0+9+1=0c1->105
9+14->9+4=3c1,0+1+1=2c0->23
65+78->5+8=3c1,6+7+1=4c1->143
96+46->6+6=2c1,9+4+1=4c1->142
1+74->1+4=5,0+7=7->75
95+21->5+1=6,9+2=1c1->116
45+96->5+6=1c1,4+9+1=4c1->141
29+11->9+1=0c1,2+1+1=4c0->40
77+60->7+0=7,7+6=3c1->137
5+11->5+1=6,0+1=1->16
22+25->2+5=7,2+2=4->47
38+62->8+2=0c1,3+6+1=0c1->100
92+5->2+5=7,9+0=9->97
88+16->8+6=4c1,8+1+1=0c1->104
53+49->3+9=2c1,5+4+1=0c1->102
75+72->5+2=7,7+7=4c1->147
92+80->2+0=2,9+8=7c1->172
8+29->8+9=7c1,0+2+1=3c0->37
74+37->4+7=1c1,7+3+1=1c1->111
68+3->8+3=1c1,6+0+1=7c0->71
37+81->7+1=8,3+8=1c1->118
84+77->4+7=1c1,8+7+1=6c1->161
3+19->3+9=2c1,0+1+1=2c0->22
38+67->8+7=5c1,3+6+1=0c1->105
71+81->1+1=2,7+8=5c1->152
75+70->5+0=5,7+7=4c1->145
28+15->8+5=3c1,2+1+1=4c0->43
92+76->2+6=8,9+7=6c1->168
66+8->6+8=4c1,6+0+1=7c0->74
25+84->5+4=9,2+8=0c1->109
38+65->8+5=3c1,3+6+1=0c1->103
75+83->5+3=8,7+8=5c1->158
64+94->4+4=8,6+9=5c1->158
38+53->8+3=1c1,3+5+1=9c0->91
12+13->2+3=5,1+1=2->25
22+79->2+9=1c1,2+7+1=0c1->101
89+44->9+4=3c1,8+4+1=3c1->133
61+73->1+3=4,6+7=3c1->134
49+40->9+0=9,4+4=8->89
64+88->4+8=2c1,6+8+1=5c1->152
97+1->7+1=8,9+0=9->98
2+75->2+5=7,0+7=7->77
72+58->2+8=0c1,7+5+1=3c1->130
12+58->2+8=0c1,1+5+1=7c0->70
68+41->8+1=9,6+4=0c1->109
27+41->7+1=8,2+4=6->68
20+27->0+7=7,2+2=4->47
87+62->7+2=9,8+6=4c1->149
46+66->6+6=2c1,4+6+1=1c1->112
95+98->5+8=3c1,9+9+1=9c1->193
10+54->0+4=4,1+5=6->64
71+52->1+2=3,7+5=2c1->123
86+9->6+9=5c1,8+0+1=9c0->95
43+3->3+3=6,4+0=4->46
60+92->0+2=2,6+9=5c1->152
89+53->9+3=2c1,8+5+1=4c1->142
51+2->1+2=3,5+0=5->53
12+45->2+5=7,1+4=5->57
54+66->4+6=0c1,5+6+1=2c1->120
6+68->6+8=4c1,0+6+1=7c0->74
46+93->6+3=9,4+9=3c1->139
80+57->0+7=7,8+5=3c1->137
94+70->4+0=4,9+7=6c1->164
87+63->7+3=0c1,8+6+1=5c1->150
10+9->0+9=9,1+0=1->19
97+5->7+5=2c1,9+0+1=0c1->102
11+25->1+5=6,1+2=3->36
79+4->9+4=3c1,7+0+1=8c0->83
36+16->6+6=2c1,3+1+1=5c0->52
54+73->4+3=7,5+7=2c1->127
25+68->5+8=3c1,2+6+1=9c0->93
69+81->9+1=0c1,6+8+1=5c1->150
82+90->2+0=2,8+9=7c1->172
92+41->2+1=3,9+4=3c1->133
34+81->4+1=5,3+8=1c1->115
71+22->1+2=3,7+2=9->93
1+54->1+4=5,0+5=5->55
82+9->2+9=1c1,8+0+1=9c0->91
1+20->1+0=1,0+2=2->21
31+62->1+2=3,3+6=9->93
78+51->8+1=9,7+5=2c1->129
95+47->5+7=2c1,9+4+1=4c1->142
26+9->6+9=5c1,2+0+1=3c0->35
45+87->5+7=2c1,4+8+1=3c1->132
75+42->5+2=7,7+4=1c1->117
16+81->6+1=7,1+8=9->97
46+26->6+6=2c1,4+2+1=7c0->72
2+82->2+2=4,0+8=8->84
87+35->7+5=2c1,8+3+1=2c1->122
97+65->7+5=2c1,9+6+1=6c1->162
37+31->7+1=8,3+3=6->68
72+86->2+6=8,7+8=5c1->158
33+76->3+6=9,3+7=0c1->109
73+41->3+1=4,7+4=1c1->114
22+55->2+5=7,2+5=7->77
86+13->6+3=9,8+1=9->99
27+29->7+9=6c1,2+2+1=5c0->56
68+50->8+0=8,6+5=1c1->118
49+41->9+1=0c1,4+4+1=9c0->90
10+6->0+6=6,1+0=1->16
45+73->5+3=8,4+7=1c1->118
43+77->3+7=0c1,4+7+1=2c1->120
13+45->3+5=8,1+4=5->58
56+87->6+7=3c1,5+8+1=4c1->143
14+71->4+1=5,1+7=8->85
72+91->2+1=3,7+9=6c1->163
50+36->0+6=6,5+3=8->86
24+25->4+5=9,2+2=4->49
27+85->7+5=2c1,2+8+1=1c1->112
8+5->8+5=3c1->13
54+58->4+8=2c1,5+5+1=1c1->112
55+23->5+3=8,5+2=7->78
42+74->2+4=6,4+7=1c1->116
83+39->3+9=2c1,8+3+1=2c1->122
93+58->3+8=1c1,9+5+1=5c1->151
7+95->7+5=2c1,0+9+1=0c1->102
87+55->7+5=2c1,8+5+1=4c1->142
63+98->3+8=1c1,6+9+1=6c1->161
80+96->0+6=6,8+9=7c1->176
3+65->3+5=8,0+6=6->68
24+94->4+4=8,2+9=1c1->118
56+83->6+3=9,5+8=3c1->139
65+81->5+1=6,6+8=4c1->146
54+45->4+5=9,5+4=9->99
6+50->6+0=6,0+5=5->56
11+41->1+1=2,1+4=5->52
54+72->4+2=6,5+7=2c1->126
32+53->2+3=5,3+5=8->85
89+94->9+4=3c1,8+9+1=8c1->183
98+50->8+0=8,9+5=4c1->148
26+59->6+9=5c1,2+5+1=8c0->85
77+40->7+0=7,7+4=1c1->117
20+62->0+2=2,2+6=8->82
16+11->6+1=7,1+1=2->27
34+64->4+4=8,3+6=9->98
76+70->6+0=6,7+7=4c1->146
32+94->2+4=6,3+9=2c1->126
24+54->4+4=8,2+5=7->78
15+97->5+7=2c1,1+9+1=1c1->112
85+63->5+3=8,8+6=4c1->148
23+51->3+1=4,2+5=7->74
74+86->4+6=0c1,7+8+1=6c1->160
50+14->0+4=4,5+1=6->64
28+29->8+9=7c1,2+2+1=5c0->57
16+20->6+0=6,1+2=3->36
64+13->4+3=7,6+1=7->77
57+56->7+6=3c1,5+5+1=1c1->113
42+83->2+3=5,4+8=2c1->125
51+54->1+4=5,5+5=0c1->105
8+95->8+5=3c1,0+9+1=0c1->103
79+47->9+7=6c1,7+4+1=2c1->126
62+44->2+4=6,6+4=0c1->106
66+28->6+8=4c1,6+2+1=9c0->94
55+15->5+5=0c1,5+1+1=7c0->70
11+1->1+1=2,1+0=1->12
75+71->5+1=6,7+7=4c1->146
37+68->7+8=5c1,3+6+1=0c1->105
57+69->7+9=6c1,5+6+1=2c1->126
95+55->5+5=0c1,9+5+1=5c1->150
56+17->6+7=3c1,5+1+1=7c0->73
87+85->7+5=2c1,8+8+1=7c1->172
81+38->1+8=9,8+3=1c1->119
16+42->6+2=8,1+4=5->58
80+47->0+7=7,8+4=2c1->127
4+29->4+9=3c1,0+2+1=3c0->33
